time,start_time,end_time,flare_class,xrsb_irrad,active_region
2017-09-04 05:49:00,2017-09-04 05:31:00,2017-09-04 06:06:00,M1.8,1.82e-05,2673.0
2017-09-04 12:16:00,2017-09-04 12:12:00,,M1.2,1.225e-05,
2017-09-04 15:30:00,2017-09-04 15:24:00,2017-09-04 15:33:00,M2.3,2.322e-05,
2017-09-04 18:22:00,2017-09-04 18:12:00,2017-09-04 18:29:00,M1.5,1.57e-05,
2017-09-04 19:37:00,2017-09-04 19:25:00,2017-09-04 19:45:00,M2.6,2.68e-05,
2017-09-04 20:02:00,2017-09-04 19:58:00,2017-09-04 20:06:00,M2.3,2.384e-05,
2017-09-04 20:33:00,2017-09-04 20:22:00,2017-09-04 20:38:00,M8.4,8.487e-05,
2017-09-04 22:14:00,2017-09-04 22:09:00,2017-09-04 22:19:00,M3.3,3.306e-05,
2017-09-05 00:35:00,2017-09-05 00:30:00,2017-09-05 00:41:00,M1.5,1.511e-05,
2017-09-05 01:08:00,2017-09-05 01:02:00,2017-09-05 01:11:00,M6.4,6.463e-05,
2017-09-05 03:51:00,2017-09-05 03:39:00,2017-09-05 04:06:00,M1.5,1.558e-05,
2017-09-05 04:53:00,2017-09-05 04:27:00,2017-09-05 05:08:00,M5.0,5.033e-05,
2017-09-05 06:40:00,2017-09-05 06:33:00,2017-09-05 06:43:00,M5.8,5.865e-05,
2017-09-05 13:34:00,2017-09-05 13:23:00,2017-09-05 13:52:00,M1.0,1.074e-05,
2017-09-05 17:43:00,2017-09-05 17:37:00,2017-09-05 17:51:00,M3.5,3.58e-05,
2017-09-06 09:10:00,2017-09-06 08:52:00,2017-09-06 09:17:00,X3.2,0.0003219,
2017-09-06 12:02:00,2017-09-06 11:52:00,2017-09-06 12:10:00,X14.6,0.001464,
2017-09-06 15:56:00,2017-09-06 15:51:00,2017-09-06 16:04:00,M4.0,4.026e-05,
2017-09-06 19:30:00,2017-09-06 19:17:00,2017-09-06 19:36:00,M2.2,2.223e-05,
2017-09-06 23:39:00,2017-09-06 23:29:00,2017-09-06 23:44:00,M1.9,1.943e-05,
2017-09-07 05:02:00,2017-09-07 04:59:00,2017-09-07 05:08:00,M3.9,3.902e-05,
2017-09-07 06:28:00,2017-09-07 06:10:00,2017-09-07 06:44:00,M1.1,1.178e-05,2673.0
2017-09-07 09:54:00,2017-09-07 09:48:00,2017-09-07 09:58:00,M2.3,2.311e-05,
2017-09-07 10:15:00,2017-09-07 10:14:00,2017-09-07 10:18:00,X1.2,0.0001205,
2017-09-07 14:36:00,2017-09-07 14:15:00,2017-09-07 14:55:00,X2.1,0.0002186,
2017-09-07 23:59:00,2017-09-07 23:50:00,2017-09-08 00:14:00,M6.0,6.072e-05,
2017-09-08 00:36:00,2017-09-08 00:31:00,2017-09-08 00:38:00,M1.0,1.044e-05,
2017-09-08 02:24:00,2017-09-08 02:18:00,2017-09-08 02:28:00,M2.0,2.042e-05,
2017-09-08 03:43:00,2017-09-08 03:39:00,2017-09-08 03:45:00,M1.8,1.866e-05,
2017-09-08 05:39:00,2017-09-08 05:21:00,,M1.0,1.088e-05,
2017-09-08 05:48:00,2017-09-08 05:45:00,2017-09-08 05:50:00,M1.2,1.201e-05,2673.0
2017-09-08 07:49:00,2017-09-08 07:39:00,2017-09-08 07:58:00,X1.2,0.0001266,
2017-09-08 15:47:00,2017-09-08 15:03:00,2017-09-08 16:04:00,M4.6,4.66e-05,
2017-09-08 23:45:00,2017-09-08 23:30:00,2017-09-08 23:56:00,M3.3,3.344e-05,
2017-09-09 04:28:00,2017-09-09 04:13:00,2017-09-09 04:43:00,M1.7,1.731e-05,
2017-09-09 11:04:00,2017-09-09 10:46:00,,M5.8,5.872e-05,
2017-09-09 11:26:00,2017-09-09 11:19:00,2017-09-09 11:34:00,M4.6,4.623e-05,
2017-09-09 23:17:00,2017-09-09 22:36:00,,M1.5,1.592e-05,
2017-09-09 23:41:00,2017-09-09 23:37:00,,M1.5,1.505e-05,
2017-09-10 03:09:00,2017-09-10 02:35:00,2017-09-10 03:26:00,M1.4,1.404e-05,
2017-09-10 16:06:00,2017-09-10 15:34:00,2017-09-10 16:31:00,X12.9,0.001292,
