time,flare_class,xrsb_irrad,active_region
2014-01-01 18:52:00,X1.4,0.0001425,1936.0
2014-01-02 02:33:00,M2.5,2.542e-05,1944.0
2014-01-02 11:41:00,M1.2,1.241e-05,
2014-01-02 12:26:00,M1.3,1.362e-05,
2014-01-02 22:18:00,M1.7,1.722e-05,1944.0
2014-01-03 12:50:00,M1.4,1.486e-05,
2014-01-03 15:33:00,M1.1,1.156e-05,
2014-01-03 21:14:00,M1.6,1.652e-05,1944.0
2014-01-04 10:25:00,M1.9,1.908e-05,1944.0
2014-01-04 15:41:00,M1.3,1.354e-05,
2014-01-04 19:46:00,M5.8,5.814e-05,
2014-01-04 22:54:00,M2.8,2.806e-05,
2014-01-06 00:19:00,M1.0,1.025e-05,1944.0
2014-01-07 03:53:00,M1.5,1.543e-05,1946.0
2014-01-07 10:13:00,X1.0,0.0001037,1944.0
2014-01-07 18:32:00,X1.7,0.0001792,1944.0
2014-01-07 22:33:00,M1.0,1.057e-05,1947.0
2014-01-08 03:47:00,M5.2,5.262e-05,1947.0
2014-01-13 21:51:00,M1.9,1.912e-05,1944.0
2014-01-17 14:03:00,M1.0,1.034e-05,
2014-01-17 16:08:00,M1.2,1.277e-05,
2014-01-17 20:07:00,M1.0,1.02e-05,
2014-01-27 01:22:00,M1.5,1.505e-05,
2014-01-27 02:10:00,M1.6,1.609e-05,
2014-01-27 19:18:00,M1.0,1.021e-05,
2014-01-27 19:27:00,M1.1,1.149e-05,
2014-01-27 22:10:00,M7.1,7.178e-05,
2014-01-28 00:36:00,M1.0,1.086e-05,
2014-01-28 04:09:00,M2.1,2.147e-05,
2014-01-28 05:29:00,M1.3,1.32e-05,
2014-01-28 07:31:00,M5.2,5.273e-05,
2014-01-28 11:38:00,M2.0,2.084e-05,
2014-01-28 12:25:00,M1.1,1.186e-05,
2014-01-28 12:46:00,M1.9,1.91e-05,
2014-01-28 15:26:00,M5.0,5.011e-05,
2014-01-28 16:45:00,M1.2,1.22e-05,1968.0
2014-01-28 19:40:00,M7.0,7.044e-05,1967.0
2014-01-28 22:16:00,M3.7,3.793e-05,1967.0
2014-01-29 04:31:00,M1.0,1.042e-05,
2014-01-29 15:31:00,M1.0,1.003e-05,
2014-01-30 06:39:00,M3.0,3.095e-05,1967.0
2014-01-30 08:11:00,M1.6,1.671e-05,1967.0
2014-01-30 16:11:00,M9.5,9.583e-05,1967.0
2014-01-31 15:42:00,M1.6,1.668e-05,
2014-02-01 01:25:00,M1.4,1.472e-05,1967.0
2014-02-01 07:23:00,M4.3,4.367e-05,1967.0
2014-02-02 06:07:00,M1.0,1.073e-05,1968.0
2014-02-02 06:34:00,M3.7,3.777e-05,1968.0
2014-02-02 07:36:00,M1.2,1.266e-05,
2014-02-02 07:43:00,M1.2,1.273e-05,
2014-02-02 08:20:00,M3.2,3.264e-05,1967.0
2014-02-02 09:31:00,M6.3,6.39e-05,1967.0
2014-02-02 11:49:00,M1.3,1.387e-05,
2014-02-02 14:06:00,M1.9,1.936e-05,
2014-02-02 14:21:00,M1.1,1.126e-05,
2014-02-02 14:36:00,M1.0,1.006e-05,
2014-02-02 16:29:00,M1.5,1.518e-05,
2014-02-02 18:11:00,M4.5,4.56e-05,
2014-02-02 21:32:00,M1.2,1.212e-05,
2014-02-02 21:43:00,M1.5,1.57e-05,
